area,property_type,bedRoom,bathroom,balcony,facing,sector,society_name,Price,Study_room,Servant_room,Pooja_room,Other,floor,age,feature_score,furnish_score,rate
5000.0,flat,2,2,1,West,Krishna Colony,maa bhagwati residency,0.45,0,0,0,0,4.0,Relatively New,5,7.0,900.0
7692.0,flat,2,2,1,West,Ashok Vihar,apna enclave,0.5,0,0,0,0,1.0,Old,5,18.5,650.0260010400416
6722.0,flat,2,2,3,,Sohna,tulsiani easy in homes,0.4,0,0,0,0,12.0,Newly House,16,0.0,595.0609937518595
12250.0,flat,2,2,2,,61,smart world orchard,1.47,1,0,0,0,2.0,Under Construction,18,0.0,1200.0
5204.0,flat,2,2,3,,92,parkwood westend,0.7,1,0,0,0,5.0,Under Construction,0,0.0,1345.119139123751
6269.0,flat,2,2,3,,36,signature global infinity mall,0.41,0,0,0,0,3.0,undefined,0,0.0,654.0118041154889
13333.0,flat,3,3,3,,Dwarka Expressway Gurgaon,the cocoon,2.0,0,0,0,0,5.0,Newly House,0,0.0,1500.0375009375234
7860.0,flat,3,4,3,,104,ats triumph,1.8,0,0,0,0,14.0,Newly House,20,0.0,2290.0763358778627
8148.0,flat,2,4,3+,North-East,88B,vatika xpressions,1.1,1,0,0,0,2.0,Under Construction,18,0.0,1350.0245459008345
16885.0,flat,3,3,2,,78,raheja revanta,4.75,0,1,0,0,31.0,Under Construction,18,0.0,2813.1477642878294
9767.0,flat,2,2,2,,81,signature global city,0.96,0,0,0,0,1.0,Under Construction,9,0.0,982.9016074536705
5587.0,flat,2,2,1,,Sohna,hcbs sports ville,0.29,0,0,0,0,4.0,Relatively New,8,0.0,519.062108466082
6940.0,flat,3,3,3,,79,supertech araville,1.35,0,0,0,0,4.0,Relatively New,0,11.5,1945.2449567723343
6859.0,flat,2,2,3+,South-East,33,godrej,0.95,0,0,0,0,3.0,Under Construction,0,0.0,1385.0415512465374
5384.0,flat,2,2,3,,90,shree vardhman flora,0.7,1,0,0,0,13.0,Newly House,5,0.0,1300.148588410104
16859.0,flat,4,5,3,,108,sobha city,3.95,0,0,0,0,25.0,undefined,0,0.5,2342.962216027048
14084.0,flat,1,1,No,,62,senate court,0.9,0,0,0,0,0.0,undefined,0,0.0,639.0230048281738
11475.0,flat,2,2,2,,102,shapoorji pallonji joyville gurugram,1.05,0,0,0,0,0.0,Under Construction,9,0.0,915.0326797385621
10476.0,flat,3,3,3,North-East,33,central park flower valley,2.2,0,1,0,0,12.0,Newly House,9,10.0,2100.038182512409
9156.0,flat,2,2,2,,89,smart world gems,1.01,1,0,0,0,4.0,Under Construction,15,0.0,1103.1017911751858
8604.0,flat,3,4,3+,North,79,bestech altura,1.85,0,1,0,0,11.0,Newly House,9,19.0,2150.1627150162717
7796.0,flat,2,3,3,,89,smart world gems,0.86,0,0,0,0,4.0,Under Construction,0,0.0,1103.129810159056
9135.0,flat,3,3,3+,South-West,102,emaar imperial gardens,1.85,0,1,0,0,0.0,Relatively New,23,47.5,2025.1778872468528
12855.0,flat,3,3,3+,East,113,la vida by tata housing,2.85,0,1,0,0,10.0,Newly House,18,0.0,2217.0361726954493
7910.0,flat,2,2,1,,36,the serenas,0.42,0,0,0,0,3.0,undefined,0,3.5,530.9734513274336
2036.7777777777778,flat,3,4,2,North-East,65,mm golfestate,6.15,0,0,0,0,20.0,undefined,0,0.0,30194.752059353006
2700.0,flat,3,5,3+,South-East,48,central park resort belgravia residences,6.25,0,1,0,0,5.0,Mid,9,63.0,23148.14814814815
5600.0,flat,2,2,2,North,37C,apex builders,0.42,0,0,0,0,4.0,Relatively New,8,0.0,750.0
12784.0,flat,2,2,No,North-East,3,godrej habitat,1.35,0,0,0,0,4.0,undefined,0,0.5,1056.0075093867333
2992.8888888888887,flat,2,2,2,,New Palam Vihar,ompee k s residency,1.6,0,0,0,0,1.0,Relatively New,0,0.0,5346.005346005346
10156.0,flat,4,4,3+,,43,bhawna cghs,3.25,0,0,1,0,12.0,Mid,20,38.0,3200.0787711697517
7194.0,flat,2,2,1,,88A,adani aangan arcade,0.45,0,0,0,0,8.0,Newly House,5,7.0,625.5212677231026
6538.0,flat,3,2,2,,92,sare green parc,0.85,0,0,0,0,20.0,undefined,0,0.0,1300.0917711838483
5769.0,flat,2,2,3,North-East,90,shree vardhman flora,0.75,0,0,0,0,8.0,undefined,0,0.5,1300.0520020800832
6950.0,flat,2,2,3+,,68,supertech hues,0.82,0,0,0,1,21.0,Under Construction,20,0.0,1179.8561151079136
8866.0,flat,3,3,2,East,109,chintels paradiso,1.8,0,1,0,0,0.0,Mid,15,0.0,2030.2278366794496
5403.0,flat,2,2,2,North-East,Sohna,breez global hill view,0.2999,0,0,0,0,6.0,Newly House,20,1.5,555.062002591153
5714.0,flat,2,2,3,North,37C,ild greens,0.78,0,0,0,0,1.0,Mid,24,18.5,1365.0682534126706
15151.0,flat,3,3,2,North,43,ansal sushant lok ci,2.0,0,1,0,0,1.0,Old,3,37.0,1320.044881525972
6200.0,flat,2,2,3+,North-West,Sohna,ashiana mulberry,0.74,0,0,0,0,12.0,Newly House,16,3.0,1193.5483870967741
16000.0,flat,3,3,3+,,106,godrej meridien,3.2,0,1,0,0,6.0,Under Construction,9,0.0,2000.0
6378.0,flat,4,4,3+,North,82,mapsko casa bella,1.3,0,1,0,0,1.0,Relatively New,27,0.0,2038.2565067419255
3571.0,flat,2,2,2,East,Ashok Vihar Phase,pooja apartment,0.25,0,0,0,0,2.0,Relatively New,0,12.0,700.0840100812097
7846.0,flat,3,2,3+,,Sohna,signature global park,0.95,0,0,0,0,1.0,Relatively New,14,0.0,1210.8080550599032
7297.0,flat,4,4,3+,East,90,dlf new town heights,1.99,0,1,1,0,9.0,Relatively New,22,25.5,2727.1481430724957
7581.0,flat,2,2,2,West,106,paras dews,1.05,0,0,0,0,5.0,Newly House,23,17.5,1385.0415512465374
10005.0,flat,3,3,3+,,85,godrej air,1.83,0,0,0,0,18.0,Under Construction,20,4.5,1829.0854572713642
10714.0,flat,3,3,3+,East,82A,dlf the primus,2.25,0,1,0,0,29.0,Relatively New,17,52.5,2100.056001493373
16969.0,flat,3,3,3+,,65,emaar mgf emerald floors premier,2.8,1,1,0,0,3.0,Relatively New,16,11.5,1650.06777064058
14545.0,flat,2,2,2,North,Dlf Phase,dlf regency park,1.6,0,0,0,0,3.0,Relatively New,18,9.5,1100.0343760742524
5424.0,flat,2,2,3,North-East,79,supertech araville,0.83,1,0,0,0,5.0,Newly House,9,33.5,1530.2359882005899
7410.0,flat,3,2,2,,Sohna,signature global park,0.83,0,0,0,0,1.0,Newly House,10,0.0,1120.1079622132254
6400.0,flat,2,3,2,,10A,maxworth city residences,0.8,0,0,0,0,9.0,Newly House,14,3.0,1250.0
4715.0,flat,4,4,3+,,1A,deepak minda,1.25,0,0,0,0,6.0,Mid,8,21.5,2651.1134676564157
5000.0,flat,1,1,1,South,Block A Surya Vihar,shree shyam residency,0.23,0,0,0,0,2.0,Relatively New,2,7.5,460.0
6666.0,flat,1,1,1,,84,pivotal devaan,0.3,0,0,0,0,14.0,Newly House,2,11.0,450.04500450045003
9872.0,flat,3,4,1,South,33,unitech the residences,1.55,0,1,0,0,1.0,Relatively New,7,16.5,1570.0972447325769
6594.0,flat,2,2,2,South-East,71,chd avenue,0.79,0,0,0,1,8.0,Relatively New,0,9.0,1198.0588413709434
5555.0,flat,2,2,2,,7,gokuldham society bahadurgarh,0.5,0,0,0,0,2.0,Mid,0,3.0,900.0900090009001
7000.0,flat,2,2,3,,Sohna,silverglades the melia,1.01,1,0,0,0,12.0,Under Construction,23,8.5,1442.857142857143
5007.0,flat,4,5,3+,,92,sare crescent parc royal greens phase,0.95,0,1,0,0,4.0,Mid,7,0.0,1897.3437187936888
7857.0,flat,2,2,2,North,77,umang winter hills,0.99,0,0,0,0,1.0,Relatively New,22,0.5,1260.0229095074455
6376.0,flat,3,3,3+,East,37D,ramprastha skyz,1.1,0,0,0,0,7.0,Under Construction,25,0.0,1725.219573400251
8863.0,flat,4,4,3,,67A,s aradhya homes,1.9,0,0,0,0,3.0,Newly House,7,25.0,2143.7436533904997
4320.0,flat,3,3,3+,North,37C,ild greens,1.0,0,0,0,0,5.0,Under Construction,14,0.0,2314.814814814815
11111.0,flat,3,3,3,,57,bptp freedom park life,2.5,0,0,0,0,9.0,Mid,0,0.0,2250.022500225002
10410.0,flat,2,2,2,,3,godrej habitat,1.1,0,0,0,0,14.0,Under Construction,0,0.0,1056.6762728146014
5178.0,flat,2,2,2,,95,ramsons kshitij,0.29,0,0,0,0,14.0,Relatively New,14,0.0,560.0617999227501
5556.0,flat,2,2,3,North-East,95,sidhartha ncr one,0.55,0,0,0,0,15.0,undefined,0,0.5,989.9208063354931
4744.0,flat,3,2,3,North-East,92,raheja sampada,0.65,0,0,0,0,6.0,Relatively New,9,0.0,1370.1517706576728
9406.0,flat,2,2,2,,Sohna,signature the serenas,0.5,0,0,0,0,6.0,Newly House,7,0.0,531.5755900489049
5521.0,flat,2,2,1,,99A,pareena laxmi apartments,0.3175,0,0,0,0,2.0,Newly House,15,0.0,575.0769788081869
6404.0,flat,2,3,3,East,103,satya the hermitage,0.93,0,1,0,0,3.0,Relatively New,21,21.5,1452.2173641474078
8432.0,flat,3,3,2,North-East,89,smart world gems,1.2,0,0,0,0,2.0,Under Construction,8,0.0,1423.1499051233397
4687.0,flat,2,2,2,,Sohna,gls arawali homes,0.3,0,0,0,0,4.0,Relatively New,12,10.5,640.0682739492213
6812.0,flat,2,2,3,South,Sohna,signature global park,0.56,0,0,0,0,3.0,Newly House,24,0.0,822.0786846741047
12505.0,flat,3,4,3+,,49,bestech park view city,2.7,0,0,0,0,6.0,Mid,0,0.0,2159.1363454618154
5128.0,flat,3,4,3,North-East,90,shree vardhman flora,1.0,0,1,0,0,8.0,Newly House,23,0.0,1950.0780031201248
11153.0,flat,3,2,2,North,30,afnhb jalvayu vihar,1.45,0,0,0,0,2.0,Old,18,35.0,1300.0986281717924
8784.0,flat,3,3,No,,89,mm soulitude,1.25,0,0,0,0,4.0,undefined,0,0.0,1423.0418943533698
711.0,flat,2,2,1,,86,pyramid elite,0.46,0,0,0,0,0.0,Under Construction,5,0.0,6469.760900140647
10599.0,flat,5,5,3+,,66,emaar mgf palm terraces,4.5,0,1,0,0,11.0,Newly House,24,34.0,4245.683555052364
6500.0,flat,2,2,1,,15,anamika enclave,0.64,0,0,0,0,1.0,Newly House,0,2.0,984.6153846153846
3768.0,flat,2,2,1,East,Sohna,hcbs sports ville,0.28,0,0,0,0,11.0,Relatively New,7,0.0,743.099787685775
17200.0,flat,3,4,3+,East,61,puri the aravallis,3.87,0,1,0,0,21.0,Under Construction,17,4.5,2250.0
6338.0,flat,3,3,1,,109,brisk lumbini terrace homes,1.38,0,0,0,0,4.0,Mid,3,0.0,2177.3430104133795
6615.0,flat,2,2,1,,Laxman Vihar,huda ashok vihar phase,0.43,0,0,0,0,2.0,Relatively New,3,4.5,650.0377928949357
3166.0,flat,2,1,1,,New Palam Vihar,my home,0.285,0,0,0,1,2.0,Relatively New,3,12.5,900.1895135818065
9838.0,flat,2,2,2,South,37D,signature global city,1.1,0,0,0,0,4.0,undefined,0,0.5,1118.1134376905875
13957.0,flat,2,2,2,,65,mm heights,2.0,0,0,0,0,32.0,undefined,0,0.0,1432.9727018700294
