area,property_type,bedRoom,bathroom,balcony,sector,Price,Study_room,Servant_room,Pooja_room,Other,floor,age,feature_score,furnish_score
5000.0,flat,2,2,1,Krishna Colony,0.45,0,0,0,0,Mid Floor,Relatively New,Low,Low
7692.0,flat,2,2,1,Ashok Vihar,0.5,0,0,0,0,Low Floor,Old,Low,Medium
6722.0,flat,2,2,3,Sohna,0.4,0,0,0,0,High Floor,Newly House,Medium,Unfurnished
12250.0,flat,2,2,2,61,1.47,1,0,0,0,Low Floor,Under Construction,Medium,Unfurnished
5204.0,flat,2,2,3,92,0.7,1,0,0,0,Mid Floor,Under Construction,Low,Unfurnished
6269.0,flat,2,2,3,36,0.41,0,0,0,0,Mid Floor,Newly House,Low,Unfurnished
13333.0,flat,3,3,3,Dwarka Expressway Gurgaon,2.0,0,0,0,0,Mid Floor,Newly House,Low,Unfurnished
7860.0,flat,3,4,3,104,1.8,0,0,0,0,High Floor,Newly House,High,Unfurnished
8148.0,flat,2,4,3+,88B,1.1,1,0,0,0,Low Floor,Under Construction,Medium,Unfurnished
16885.0,flat,3,3,2,78,4.75,0,1,0,0,High Floor,Under Construction,Medium,Unfurnished
9767.0,flat,2,2,2,81,0.96,0,0,0,0,Low Floor,Under Construction,Low,Unfurnished
5587.0,flat,2,2,1,Sohna,0.29,0,0,0,0,Mid Floor,Relatively New,Low,Unfurnished
6940.0,flat,3,3,3,79,1.35,0,0,0,0,Mid Floor,Relatively New,Low,Medium
6859.0,flat,2,2,3+,33,0.95,0,0,0,0,Mid Floor,Under Construction,Low,Unfurnished
5384.0,flat,2,2,3,90,0.7,1,0,0,0,High Floor,Newly House,Low,Unfurnished
16859.0,flat,4,5,3,108,3.95,0,0,0,0,High Floor,Relatively New,Low,Low
14084.0,flat,1,1,No,62,0.9,0,0,0,0,Low Floor,Relatively New,Low,Unfurnished
11475.0,flat,2,2,2,102,1.05,0,0,0,0,Low Floor,Under Construction,Low,Unfurnished
10476.0,flat,3,3,3,33,2.2,0,1,0,0,High Floor,Newly House,Low,Low
9156.0,flat,2,2,2,89,1.01,1,0,0,0,Mid Floor,Under Construction,Medium,Unfurnished
8604.0,flat,3,4,3+,79,1.85,0,1,0,0,High Floor,Newly House,Low,Medium
7796.0,flat,2,3,3,89,0.86,0,0,0,0,Mid Floor,Under Construction,Low,Unfurnished
9135.0,flat,3,3,3+,102,1.85,0,1,0,0,Low Floor,Relatively New,High,High
12855.0,flat,3,3,3+,113,2.85,0,1,0,0,Mid Floor,Newly House,Medium,Unfurnished
7910.0,flat,2,2,1,36,0.42,0,0,0,0,Mid Floor,Newly House,Low,Low
2036.7777777777776,flat,3,4,2,65,6.15,0,0,0,0,High Floor,Relatively New,Low,Unfurnished
2700.0,flat,3,5,3+,48,6.25,0,1,0,0,Mid Floor,Mid,Low,High
5600.0,flat,2,2,2,37C,0.42,0,0,0,0,Mid Floor,Relatively New,Low,Unfurnished
12784.0,flat,2,2,No,3,1.35,0,0,0,0,Mid Floor,Under Construction,Low,Low
2992.8888888888887,flat,2,2,2,New Palam Vihar,1.6,0,0,0,0,Low Floor,Relatively New,Low,Unfurnished
10156.0,flat,4,4,3+,43,3.25,0,0,1,0,High Floor,Mid,High,High
7194.0,flat,2,2,1,88A,0.45,0,0,0,0,Mid Floor,Newly House,Low,Low
6538.0,flat,3,2,2,92,0.85,0,0,0,0,High Floor,Relatively New,Low,Unfurnished
5769.0,flat,2,2,3,90,0.75,0,0,0,0,Mid Floor,Relatively New,Low,Low
6950.0,flat,2,2,3+,68,0.82,0,0,0,1,High Floor,Under Construction,High,Unfurnished
8866.0,flat,3,3,2,109,1.8,0,1,0,0,Low Floor,Mid,Medium,Unfurnished
5403.0,flat,2,2,2,Sohna,0.2999,0,0,0,0,Mid Floor,Newly House,High,Low
5714.0,flat,2,2,3,37C,0.78,0,0,0,0,Low Floor,Mid,High,Medium
15151.0,flat,3,3,2,43,2.0,0,1,0,0,Low Floor,Old,Low,High
6200.0,flat,2,2,3+,Sohna,0.74,0,0,0,0,High Floor,Newly House,Medium,Low
16000.0,flat,3,3,3+,106,3.2,0,1,0,0,Mid Floor,Under Construction,Low,Unfurnished
6378.0,flat,4,4,3+,82,1.3,0,1,0,0,Low Floor,Relatively New,High,Unfurnished
3571.0,flat,2,2,2,Ashok Vihar Phase,0.25,0,0,0,0,Low Floor,Relatively New,Low,Medium
7846.0,flat,3,2,3+,Sohna,0.95,0,0,0,0,Low Floor,Relatively New,Medium,Unfurnished
7297.0,flat,4,4,3+,90,1.99,0,1,1,0,Mid Floor,Relatively New,High,Medium
7581.0,flat,2,2,2,106,1.05,0,0,0,0,Mid Floor,Newly House,High,Medium
10005.0,flat,3,3,3+,85,1.83,0,0,0,0,High Floor,Under Construction,High,Low
10714.0,flat,3,3,3+,82A,2.25,0,1,0,0,High Floor,Relatively New,Medium,High
16969.0,flat,3,3,3+,65,2.8,1,1,0,0,Mid Floor,Relatively New,Medium,Medium
14545.0,flat,2,2,2,Dlf Phase,1.6,0,0,0,0,Mid Floor,Relatively New,Medium,Low
5424.0,flat,2,2,3,79,0.83,1,0,0,0,Mid Floor,Newly House,Low,High
7410.0,flat,3,2,2,Sohna,0.83,0,0,0,0,Low Floor,Newly House,Low,Unfurnished
6400.0,flat,2,3,2,10A,0.8,0,0,0,0,Mid Floor,Newly House,Medium,Low
4715.0,flat,4,4,3+,1A,1.25,0,0,0,0,Mid Floor,Mid,Low,Medium
6666.0,flat,1,1,1,84,0.3,0,0,0,0,High Floor,Newly House,Low,Medium
9872.0,flat,3,4,1,33,1.55,0,1,0,0,Low Floor,Relatively New,Low,Medium
6594.0,flat,2,2,2,71,0.79,0,0,0,1,Mid Floor,Relatively New,Low,Low
5555.0,flat,2,2,2,7,0.5,0,0,0,0,Low Floor,Mid,Low,Low
7000.0,flat,2,2,3,Sohna,1.01,1,0,0,0,High Floor,Under Construction,High,Low
5007.0,flat,4,5,3+,92,0.95,0,1,0,0,Mid Floor,Mid,Low,Unfurnished
7857.0,flat,2,2,2,77,0.99,0,0,0,0,Low Floor,Relatively New,High,Low
6376.0,flat,3,3,3+,37D,1.1,0,0,0,0,Mid Floor,Under Construction,High,Unfurnished
8863.0,flat,4,4,3,67A,1.9,0,0,0,0,Mid Floor,Newly House,Low,Medium
4320.0,flat,3,3,3+,37C,1.0,0,0,0,0,Mid Floor,Under Construction,Medium,Unfurnished
11111.0,flat,3,3,3,57,2.5,0,0,0,0,Mid Floor,Mid,Low,Unfurnished
10410.0,flat,2,2,2,3,1.1,0,0,0,0,High Floor,Under Construction,Low,Unfurnished
5178.0,flat,2,2,2,95,0.29,0,0,0,0,High Floor,Relatively New,Medium,Unfurnished
5556.0,flat,2,2,3,95,0.55,0,0,0,0,High Floor,Relatively New,Low,Low
4744.0,flat,3,2,3,92,0.65,0,0,0,0,Mid Floor,Relatively New,Low,Unfurnished
9406.0,flat,2,2,2,Sohna,0.5,0,0,0,0,Mid Floor,Newly House,Low,Unfurnished
5521.0,flat,2,2,1,99A,0.3175,0,0,0,0,Low Floor,Newly House,Medium,Unfurnished
6404.0,flat,2,3,3,103,0.93,0,1,0,0,Mid Floor,Relatively New,High,Medium
8432.0,flat,3,3,2,89,1.2,0,0,0,0,Low Floor,Under Construction,Low,Unfurnished
4687.0,flat,2,2,2,Sohna,0.3,0,0,0,0,Mid Floor,Relatively New,Medium,High
6812.0,flat,2,2,3,Sohna,0.56,0,0,0,0,Mid Floor,Newly House,High,Unfurnished
