rate,property_type,area,bedRoom,bathroom,balcony,noOfFloor,facing,sector,society_name,Price,Study_room,Servant_room,Pooja_room,Other,age,feature_score,furnish_score
20115,house,2609.99,5,4,3+,3,North-East,Sector 70A,bptp visionnaire,5.25,0,1,0,0,Newly House,10,13.0
105751,house,539.0,5,4,2,2,,Sector 21A,,5.7,0,1,1,0,Mid,8,12.5
38251,house,549.01,10,10,3+,5,West,Sushant Lok Phase,,2.1,0,1,0,0,Newly House,4,44.0
43066,house,1161.01,21,21,3+,5,North,Sector 54,,5.0,0,1,0,0,Relatively New,10,176.5
53763,house,558.0,12,12,3+,5,West,Sushant Lok Phase,,3.0,0,0,0,1,Under Construction,4,104.0
39062,house,1152.01,20,20,3+,4,East,Sushant Lok Phase,,4.5,0,1,0,0,Relatively New,5,155.0
37037,house,3240.0,5,5,3+,3,East,Sector 66,emaar mgf marbella,12.0,0,1,1,0,Newly House,22,31.5
48889,house,4090.9,16,16,3+,4,,Dlf Phase,luxury dlf city floors,20.0,0,1,0,0,Newly House,6,143.5
38150,house,2844.04,6,6,1,3,North-East,Dlf Phase,,10.85,0,0,0,0,Relatively New,21,24.0
10077,house,1935.1,3,4,3+,4,West,Sushant Lok Phase,sushant lok,1.95,0,1,0,0,Newly House,11,60.0
32963,house,1350.0,4,3,3+,2,West,Dlf Phase,,4.45,0,0,0,0,Mid,14,13.5
27778,house,3239.97,6,7,3+,3,North,Dlf Phase,,9.0,1,1,1,0,Mid,10,0.0
34083,house,1467.01,13,13,3+,4,North,Dlf Phase,dlf city plots phase,5.0,0,0,1,0,Newly House,17,191.0
33200,house,4518.07,5,6,3+,3,North,Dlf Phase,,15.0,1,1,1,0,Mid,12,78.5
30556,house,2699.96,5,6,3+,3,West,B Block Sushant Lok Phase,,8.25,1,1,1,0,Mid,9,56.5
14914,house,1341.02,6,4,3,3,East,New Palam Vihar Phase,,2.0,1,0,1,0,Relatively New,7,33.0
29861,house,3600.01,9,9,3+,3,South-West,Dlf Phase,dlf city plots phase,10.75,0,1,1,0,Old,9,8.0
23333,house,900.01,7,7,3+,3,North-East,Sector 38,,2.1,1,0,1,0,Relatively New,4,0.0
41762,house,1759.97,4,4,3+,3,South,Nirvana Country,unitech espace,7.35,0,1,1,0,Mid,9,39.0
15451,house,2880.07,6,6,3,3,North,Uppals Southend,,4.45,1,1,1,0,Mid,26,72.5
12938,house,2627.92,9,9,3,3,West,Sector 9,,3.4,0,0,0,0,Mid,9,60.5
38095,house,3150.02,5,6,3+,3,North-East,Sector 66,emaar mgf marbella,12.0,0,1,0,0,Relatively New,27,29.5
25926,house,3239.99,4,4,3,2,,Sector 48,,8.4,0,1,1,0,Old,4,35.5
26235,house,3239.95,4,4,2,,East,Sector 48,vipul tatvam villa,8.5,0,1,1,0,Mid,22,4.0
38760,house,1960.78,9,9,3,4,East,Dlf Phase,,7.6,1,0,1,0,Relatively New,13,81.0
25926,house,2699.99,5,5,3+,3,North-East,Sushant Lok Phase,ansal sushant lok plots,7.0,1,1,1,0,Relatively New,8,113.5
9374,house,5067.21,5,5,1,1,South-East,Sector 4,grover homes sec,4.75,1,1,1,0,Old,7,76.0
13410,house,2609.99,9,9,3+,3,North-East,Sector 9,,3.5,1,0,0,0,Relatively New,4,9.0
21124,house,2366.98,9,9,3+,3,North-West,Sector 40,,5.0,0,1,0,0,Mid,12,120.5
32593,house,3239.96,5,5,3,3,,Nirvana Country,,10.56,0,1,0,0,Mid,3,0.0
